Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E0,18/01/2020,Watford,Tottenham,0,0
E0,18/01/2020,Arsenal,Sheffield United,1,1
E0,18/01/2020,Brighton,Aston Villa,1,1
E0,18/01/2020,Man City,Crystal Palace,2,2
E0,18/01/2020,Norwich,Bournemouth,1,0
E0,18/01/2020,Southampton,Wolves,2,3
E0,18/01/2020,West Ham,Everton,1,1
E0,18/01/2020,Newcastle,Chelsea,1,0
E0,19/01/2020,Burnley,Leicester,2,1
E0,19/01/2020,Liverpool,Man United,2,0
E0,21/01/2020,Aston Villa,Watford,2,1
E0,21/01/2020,Bournemouth,Brighton,3,1
E0,21/01/2020,Crystal Palace,Southampton,0,2
E0,21/01/2020,Everton,Newcastle,2,2
E0,21/01/2020,Sheffield United,Man City,0,1
E0,21/01/2020,Chelsea,Arsenal,2,2
E0,22/01/2020,Leicester,West Ham,4,1
E0,22/01/2020,Tottenham,Norwich,2,1
E0,22/01/2020,Man United,Burnley,0,2
E0,23/01/2020,Wolves,Liverpool,1,2
E0,29/01/2020,West Ham,Liverpool,0,2
E0,01/02/2020,Leicester,Chelsea,2,2
E0,01/02/2020,Bournemouth,Aston Villa,2,1
E0,01/02/2020,Crystal Palace,Sheffield United,0,1
E0,01/02/2020,Liverpool,Southampton,4,0
E0,01/02/2020,Newcastle,Norwich,0,0
E0,01/02/2020,Watford,Everton,2,3
E0,01/02/2020,West Ham,Brighton,3,3
E0,01/02/2020,Man United,Wolves,0,0
E0,02/02/2020,Burnley,Arsenal,0,0
E0,02/02/2020,Tottenham,Man City,2,0
E0,08/02/2020,Everton,Crystal Palace,3,1
E0,08/02/2020,Brighton,Watford,1,1
E0,09/02/2020,Sheffield United,Bournemouth,2,1
E0,14/02/2020,Wolves,Leicester,0,0
E0,15/02/2020,Southampton,Burnley,1,2
E0,15/02/2020,Norwich,Liverpool,0,1
E0,16/02/2020,Aston Villa,Tottenham,2,3
E0,16/02/2020,Arsenal,Newcastle,4,0
E0,17/02/2020,Chelsea,Man United,0,2
E0,19/02/2020,Man City,West Ham,2,0
E0,22/02/2020,Chelsea,Tottenham,2,1
E0,22/02/2020,Burnley,Bournemouth,3,0
E0,22/02/2020,Crystal Palace,Newcastle,1,0
E0,22/02/2020,Sheffield United,Brighton,1,1
E0,22/02/2020,Southampton,Aston Villa,2,0
E0,22/02/2020,Leicester,Man City,0,1
E0,23/02/2020,Man United,Watford,3,0
E0,23/02/2020,Wolves,Norwich,3,0
E0,23/02/2020,Arsenal,Everton,3,2
E0,24/02/2020,Liverpool,West Ham,3,2
E0,28/02/2020,Norwich,Leicester,1,0
E0,29/02/2020,Brighton,Crystal Palace,0,1
E0,29/02/2020,Bournemouth,Chelsea,2,2
E0,29/02/2020,Newcastle,Burnley,0,0
E0,29/02/2020,West Ham,Southampton,3,1
E0,29/02/2020,Watford,Liverpool,3,0
E0,01/03/2020,Everton,Man United,1,1
E0,01/03/2020,Tottenham,Wolves,2,3
E0,07/03/2020,Liverpool,Bournemouth,2,1
E0,07/03/2020,Arsenal,West Ham,1,0
E0,07/03/2020,Crystal Palace,Watford,1,0
E0,07/03/2020,Sheffield United,Norwich,1,0
E0,07/03/2020,Southampton,Newcastle,0,1
E0,07/03/2020,Wolves,Brighton,0,0
E0,07/03/2020,Burnley,Tottenham,1,1
E0,08/03/2020,Chelsea,Everton,4,0
E0,08/03/2020,Man United,Man City,2,0
E0,09/03/2020,Leicester,Aston Villa,4,0
